id1,id2
0,48165
1,39703
2,33795
3,37501
4,45106
5,31614
6,31863
7,33160
8,35893
10,29702
13,28918
15,50064
16,48772
17,47284
18,33168
19,40710
20,28015
21,34782
22,47695
23,39188
24,33470
25,30007
26,49817
27,34203
28,38665
29,41766
31,38407
32,39183
33,50625
34,39848
35,36669
36,30002
37,47557
38,46638
39,29916
40,48221
42,50679
44,30642
45,40188
47,45602
48,46194
49,38097
50,39427
51,40364
52,33728
53,28577
54,48663
55,41609
56,38331
57,48830
58,33699
59,40346
60,31466
62,35966
64,41778
65,31133
66,33535
67,45765
68,35861
69,37772
70,30475
72,46371
73,33443
74,29755
76,47191
78,46098
79,29516
80,28942
81,29165
82,27740
84,41818
86,46456
87,41222
88,32061
91,45576
92,36184
93,43050
94,34153
95,28049
96,41745
97,44273
99,37885
100,34625
101,32435
102,30160
104,42788
105,31373
106,33174
107,33287
108,47051
109,29491
110,33793
111,37664
112,30985
113,47797
114,40224
117,45164
119,39536
120,49958
121,37536
122,40588
123,35480
124,32891
125,34847
127,37990
128,34214
129,31792
130,45872
133,35008
134,34765
135,40006
136,33997
137,50544
138,44475
139,34334
140,45252
141,27942
142,39181
143,30976
144,48039
145,37620
146,32794
147,38396
148,28733
149,50522
151,35374
152,46630
153,46737
155,50227
156,42309
157,46307
158,49264
159,48752
161,33054
162,36609
163,46408
164,42738
165,29983
166,28296
168,41535
169,50530
170,45596
171,35626
172,34243
173,28632
174,32781
177,31189
178,48359
180,48458
182,41986
183,37994
185,48561
186,35237
187,32859
188,37488
189,47799
190,43662
191,33805
193,45090
194,31541
195,38659
196,33730
198,31685
199,35945
201,46464
202,48843
203,44204
204,47005
205,42042
206,31394
207,34150
208,47233
209,31232
211,49186
212,29465
214,35094
215,39265
216,29623
217,31576
218,28564
220,34912
221,46008
222,50664
223,50155
224,48115
227,47600
228,47633
229,32592
230,35090
231,29689
232,42922
233,46437
234,35759
235,32882
237,37960
240,29232
241,32446
245,48882
247,49521
248,49242
249,32971
251,42415
252,47128
253,41265
254,33515
255,36402
256,42661
257,43342
258,28389
259,29142
260,41878
261,47219
262,42053
263,36530
264,33550
266,28028
267,29247
268,47837
269,42684
270,31144
271,33405
272,42909
274,30386
276,34918
277,33643
278,29744
280,48053
281,38171
283,36173
284,29040
285,44158
286,33131
288,47753
289,33207
290,50583
293,32880
294,29206
295,44642
297,43736
298,28919
299,39921
300,39289
303,37707
304,33838
305,36058
306,32078
307,30066
308,33496
309,31179
310,50439
312,40776
314,38535
315,41912
316,36408
317,33588
319,45746
320,40232
321,38436
322,45538
323,41680
325,39724
326,31773
327,39521
329,32285
330,27662
331,31262
332,37284
333,31356
335,41457
336,31649
337,29816
339,43631
340,47163
341,44322
342,41567
344,34720
345,29403
346,42660
347,46103
348,48526
349,50140
351,45828
352,47292
353,50264
354,45327
355,30685
356,34787
357,39549
358,43584
359,37452
361,46815
362,37926
364,43157
366,50250
368,34771
369,49600
370,38207
371,34648
372,34123
373,35106
374,49185
375,43335
376,39781
377,44325
378,50722
379,49903
380,39902
381,38380
382,48719
384,45046
386,31171
387,27915
388,47844
390,47411
391,46849
395,50606
396,34162
397,50347
398,43154
399,27619
400,41162
401,28830
402,29209
405,35832
406,34501
408,39651
409,39618
410,32614
411,39884
413,39201
